flight_id,timestamp,corridor_id,drone_type,operator_name,airspace_class,cargo_type,season,weather_condition,flight_status,altitude_m,ground_speed_kmh,flight_distance_km,payload_kg,battery_start_pct,battery_end_pct,wind_speed_kmh,temperature_c,visibility_km,corridor_latitude,corridor_longitude,compliant_flight,risk_level
FLT-000001,2024-08-02 09:01:00,COR-047,Multirotor,Flytrex,Class E,Retail Package,Winter,Clear,Completed,283.6,67.7,19.58,1.5,83,70,29.4,27.3,2,33.2399,-89.939,1,High
FLT-000002,2022-07-18 13:14:00,COR-031,Multirotor,Wing (Alphabet),Class E,Mail,Winter,Overcast,Completed,203.0,89.8,16.65,5.0,84,73,8.9,30.6,8,45.9157,-118.0784,1,Critical
FLT-000003,2021-10-13 09:43:00,COR-042,Multirotor,Flytrex,Class E,Surveillance,Summer,Light Rain,Completed,50.6,72.7,3.29,1.0,98,66,13.4,25.2,20,41.1039,-110.1258,1,High
FLT-000004,2024-01-22 08:37:00,COR-019,Fixed-Wing,Skydio,Class G,Emergency Response,Winter,Clear,Completed,369.8,71.7,37.35,1.5,89,44,16.8,14.2,10,38.1705,-84.0897,1,Critical
FLT-000005,2023-05-15 07:01:00,COR-023,Fixed-Wing,Wing (Alphabet),Class E,Emergency Response,Autumn,Clear,Completed,392.7,24.6,4.95,1.0,72,41,10.8,19.4,3,28.4324,-96.0944,1,Low
FLT-000006,2021-07-11 12:14:00,COR-028,Hybrid VTOL,Joby Aviation,Class D,Food Delivery,Winter,Clear,Completed,189.5,48.6,24.56,1.5,96,77,14.6,14.6,10,28.4319,-76.5295,1,Medium
FLT-000007,2023-11-01 06:35:00,COR-045,Hybrid VTOL,Amazon Prime Air,Class E,Medical Supplies,Winter,Partly Cloudy,Completed,257.1,106.1,3.49,0.5,86,35,9.2,19.0,10,26.2778,-100.9912,1,Medium
FLT-000008,2022-02-12 19:14:00,COR-010,Fixed-Wing,Wing (Alphabet),Class G,Surveillance,Summer,Partly Cloudy,Completed,196.6,53.0,19.47,2.0,97,53,6.1,32.7,15,44.0559,-79.3792,1,Medium
FLT-000009,2023-07-09 14:51:00,COR-038,Fixed-Wing,Matternet,Class D,Emergency Response,Summer,Clear,Aborted,149.1,90.3,40.69,0.5,75,25,48.8,16.8,8,38.2245,-100.0012,1,Low
FLT-000010,2021-01-14 11:44:00,COR-034,Multirotor,Flytrex,Class C,Retail Package,Winter,Partly Cloudy,Completed,58.6,52.8,0.5,1.5,76,40,7.8,24.0,15,40.5776,-74.0168,1,Medium
FLT-000011,2023-05-16 16:17:00,COR-001,Multirotor,Joby Aviation,Class G,Mail,Autumn,Light Rain,Completed,198.7,59.4,70.13,1.5,82,49,21.8,18.9,8,25.4529,-74.9681,1,Critical
FLT-000012,2021-11-15 12:48:00,COR-043,Multirotor,Joby Aviation,Class G,Food Delivery,Spring,Fog,Completed,332.8,75.3,0.54,1.5,70,54,10.9,13.6,10,46.338,-105.8723,1,High
